NAME,ADDRESS,CITY,STATE,ZIPCODE,LAT,LONG,STARS,REVIEW_COUNT,IS_OPEN,ACCEPTS_CREDITCARD,PRICE_RANGE,ALCOHOL,WIFI,DOGS_ALLOWED,WHEELCHAIR_ACCESS,APPOINTMENT_ONLY,CATEGORIES,CATEGORY1,CATEGORY2,CATEGORY3,CATEGORY4,CATEGORY5,CATEGORY6,CATEGORY7,CATEGORY8,CATEGORY9,CATEGORY10,CATEGORY11,CATEGORY12,CATEGORY13,CATEGORY14,CATEGORY15,CATEGORY16,,,,
Dunkin Donuts,145 Mcmurray Rd,Upper St Clair,PA,15241,40.326016,-80.065199,2,5,1,TRUE,1,,,,,,"Coffee & Tea, Food, Breakfast & Brunch, Restaurants, Donuts",Coffee , Tea, Food, Breakfast , Brunch, Restaurants, Donuts,,,,,,,,,,,,,
China Palace,5440 Walnut St,Pittsburgh,PA,15232,40.450866,-79.933919,3,110,1,TRUE,2,full_bar,no,,TRUE,,"Asian Fusion, Caterers, Fast Food, Chinese, Restaurants, Vegetarian, Food Delivery Services, Event Planning & Services, Food",Asian Fusion, Caterers, Fast Food, Chinese, Restaurants, Vegetarian, Food Delivery Services, Event Planning , Services, Food,,,,,,,,,,
Pizza Bellagio,4635 Centre Ave,Pittsburgh,PA,15213,40.4524104,-79.9506684,1.5,18,1,TRUE,2,,no,,,,"Pizza, Restaurants",Pizza, Restaurants,,,,,,,,,,,,,,,,,,
Pittsburgh Poke,500 Liberty Ave,Pittsburgh,PA,15222,40.4413212,-80.0035143,4.5,94,1,TRUE,2,none,no,,,,"Sushi Bars, Food, Thai, Poke, Japanese, Restaurants",Sushi Bars, Food, Thai, Poke, Japanese, Restaurants,,,,,,,,,,,,,,
Schenley Park Visitors Center,101 Panther Hollow Rd,Pittsburgh,PA,15213,40.43754064,-79.94888306,5,12,1,TRUE,,,,,TRUE,,"Cafes, Hotels & Travel, Swimming Pools, Travel Services, Hiking, Playgrounds, Local Services, Skating Rinks, Beaches, Visitor Centers, Restaurants, Tennis, Community Service/Non-Profit, Parks, Active Life",Cafes, Hotels , Travel, Swimming Pools, Travel Services, Hiking, Playgrounds, Local Services, Skating Rinks, Beaches, Visitor Centers, Restaurants, Tennis, Community Service/Non-Profit, Parks, Active Life,,,,
Vocelli Pizza,2011 Waverly Ave,Swissvale,PA,15218,40.4219149,-79.8863458,2.5,10,1,TRUE,1,none,,,,,"Pizza, Restaurants",Pizza, Restaurants,,,,,,,,,,,,,,,,,,
Crazy Mocha,1836 Centre Ave,Pittsburgh,PA,15219,40.4425968,-79.9822921,5,3,1,,,,,,,,"Food, Cafes, Coffee & Tea, Restaurants",Food, Cafes, Coffee , Tea, Restaurants,,,,,,,,,,,,,,,
The Commoner Corner,458 Strawberry Way,Pittsburgh,PA,15219,40.4415434,-79.9961395,3.5,13,0,TRUE,2,full_bar,free,,,,"Breakfast & Brunch, Restaurants",Breakfast , Brunch, Restaurants,,,,,,,,,,,,,,,,,
Arby's,3200 Saw Mill Run Blvd,Pittsburgh,PA,15227,40.3764422,-79.9841149,3,3,0,TRUE,1,none,,,,,"Restaurants, Fast Food",Restaurants, Fast Food,,,,,,,,,,,,,,,,,,
Cole's Pub,527 US 30,Imperial,PA,15126,40.4514328,-80.25183677,4,35,1,TRUE,1,,free,,,,"American (Traditional), Bars, Restaurants, Nightlife",American (Traditional), Bars, Restaurants, Nightlife,,,,,,,,,,,,,,,,
Pizza Marsala,10729 State Rt 30,Irwin,PA,15642,40.3201378,-79.6845419,4,12,1,TRUE,1,none,free,,TRUE,,"Pizza, Restaurants, Italian",Pizza, Restaurants, Italian,,,,,,,,,,,,,,,,,
