NAME,ADDRESS,CITY,STATE,ZIPCODE,LAT,LONG,STARS,REVIEW_COUNT,IS_OPEN,ACCEPTS_CREDITCARD,PRICE_RANGE,ALCOHOL,WIFI,DOGS_ALLOWED,WHEELCHAIR_ACCESS,APPOINTMENT_ONLY,CATEGORIES,CATEGORY1,TYPE,CATEGORY2,CATEGORY3,CATEGORY4,CATEGORY5,CATEGORY6,CATEGORY7,CATEGORY8,CATEGORY9,CATEGORY10,CATEGORY11,CATEGORY12,CATEGORY13,CATEGORY14,CATEGORY15,CATEGORY16,,,,,,,,
Maggie & Stella's Gifts,209 Oakland Ave,Pittsburgh,PA,15213,40.4414214,-79.9564571,3.5,3,1,TRUE,2,,,,,,"Flowers & Gifts, Gift Shops, Shopping",Flowers ,, Gifts, Gift Shops, Shopping,,,,,,,,,,,,,,,,,,,,
Dunkin Donuts,145 Mcmurray Rd,Upper St Clair,PA,15241,40.326016,-80.065199,2,5,1,TRUE,1,,,,,,"Coffee & Tea, Food, Breakfast & Brunch, Restaurants, Donuts",Coffee ,, Tea, Food, Breakfast , Brunch, Restaurants, Donuts,,,,,,,,,,,,,,,,,
E R Automotive,547 California Ave,Avalon,PA,15202,40.502098,-80.0692605,5,4,1,TRUE,,,,,,,"Auto Repair, Automotive",Auto Repair,, Automotive,,,,,,,,,,,,,,,,,,,,,,
Brett's Plumbing,215 E Patty Ln,Monroeville,PA,15146,40.4257272,-79.7341381,5,3,1,,,,,,,,"Plumbing, Home Services",Plumbing,, Home Services,,,,,,,,,,,,,,,,,,,,,,
Philip Pelusi,"531 Clairton Blvd, Unit 7",Pittsburgh,PA,15236,40.326984,-79.9573294,4.5,5,1,TRUE,2,,,,,FALSE,"Hair Salons, Beauty & Spas",Hair Salons,, Beauty , Spas,,,,,,,,,,,,,,,,,,,,,
FedEx Office Print & Ship Center,1720 Washington Rd,Pittsburgh,PA,15241,40.34818621,-80.05337352,3.5,5,1,TRUE,,,,,,,"Professional Services, Local Services, Shipping Centers, Printing Services, Signmaking",Professional Services,, Local Services, Shipping Centers, Printing Services, Signmaking,,,,,,,,,,,,,,,,,,,
China Palace,5440 Walnut St,Pittsburgh,PA,15232,40.450866,-79.933919,3,110,1,TRUE,2,full_bar,no,,TRUE,,"Asian Fusion, Caterers, Fast Food, Chinese, Restaurants, Vegetarian, Food Delivery Services, Event Planning & Services, Food",Asian Fusion,, Caterers, Fast Food, Chinese, Restaurants, Vegetarian, Food Delivery Services, Event Planning , Services, Food,,,,,,,,,,,,,,
Pizza Bellagio,4635 Centre Ave,Pittsburgh,PA,15213,40.4524104,-79.9506684,1.5,18,1,TRUE,2,,no,,,,"Pizza, Restaurants",Pizza,, Restaurants,,,,,,,,,,,,,,,,,,,,,,
The Gilded Girl,5104 Butler St,Pittsburgh,PA,15201,40.4784388,-79.9553131,4.5,11,1,TRUE,2,,,,,FALSE,"Beauty & Spas, Shopping, Specialty Schools, Education, Makeup Artists, Cosmetics & Beauty Supply",Beauty ,, Spas, Shopping, Specialty Schools, Education, Makeup Artists, Cosmetics , Beauty Supply,,,,,,,,,,,,,,,,
Evolve Modern Hairdressing,4900 Hatfield St,Pittsburgh,PA,15201,40.4774907,-79.9574707,4,13,1,TRUE,2,,,,TRUE,TRUE,"Beauty & Spas, Hair Salons",Beauty ,, Spas, Hair Salons,,,,,,,,,,,,,,,,,,,,,
